Titulo,Artista,Year,Genero,Estado,pais,stilo
Carlos Vives - Clásicos De La Provincia,Carlos Vives,1994,['Latin'],Accepted,Spain,"['Cumbia', 'Vallenato']"
Carlos Vives - La Gota Fria,Carlos Vives,1993,['Latin'],Accepted,US,"['Cumbia', 'Vallenato']"
Carlos Vives - Carlos Vives,Carlos Vives,1995,['Latin'],Accepted,US,
Carlos Vives - Más Corazón Profundo,Carlos Vives,2014,"['Latin', 'Pop']",Accepted,Spain,
Carlos Vives - Tu Amor Eterno,Carlos Vives,1999,['Latin'],Accepted,Spain,"['Cumbia', 'Vallenato']"
Carlos Vives - La TierraDel Olvido,Carlos Vives,1995,['Latin'],Accepted,US,
Carlos Vives - Clásicos De La Provincia,Carlos Vives,1993,['Latin'],Accepted,US,"['Cumbia', 'Vallenato']"
Carlos Vives - Clasicos De La Provincia,Carlos Vives,1993,['Latin'],Accepted,US,"['Cumbia', 'Vallenato']"
Carlos Vives - Tu Amor Eterno Remixes,Carlos Vives,1999,['Latin'],Accepted,US,
Carlos Vives - Escalona,Carlos Vives,1995,"['Latin', 'Pop']",Accepted,Bolivia,"['Ballad', 'Vallenato']"
Carlos Vives - La Tierra Del Olvido,Carlos Vives,1995,['Latin'],Accepted,Spain,"['Cumbia', 'Pop Rock', 'Vallenato']"
Carlos Vives - El Amor De Mi Tierra,Carlos Vives,1999,['Latin'],Accepted,Mexico,"['Cumbia', 'Rumba']"
Carlos Vives - Escalona - Un Canto A La Vida,Carlos Vives,1992,['Latin'],Accepted,Ecuador,['Vallenato']
Carlos Vives - Non Stop Remixes,Carlos Vives,2002,"['Electronic', 'Latin', 'Pop']",Accepted,US,"['House', 'Vallenato', 'Tribal House', 'Garage House']"
Carlos Vives - La Tierra Del Olvido,Carlos Vives,1995,['Latin'],Accepted,Argentina,"['Cumbia', 'Pop Rock', 'Vallenato']"
Carlos Vives - El Rock De Mi Pueblo ,Carlos Vives,2004,"['Latin', 'Pop']",Accepted,Spain,['Vallenato']
Carlos Vives - Clásicos De La Provincia,Carlos Vives,1993,['Latin'],Accepted,Argentina,"['Cumbia', 'Vallenato']"
Carlos Vives - Dejame Entrar,Carlos Vives,2001,['Electronic'],Accepted,Europe,"['House', 'Latin']"
Carlos Vives - La Gota Fria,Carlos Vives,1994,['Latin'],Accepted,Spain,['Vallenato']
Carlos Vives - Mas Corazon Profundo Tour,Carlos Vives,2015,['Latin'],Accepted,US,
Carlos Vives - Pá Mayté,Carlos Vives,1995,"['Latin', 'Pop']",Accepted,Spain,
Carlos Vives - La Tierra Del Olvido,Carlos Vives,2009,['Latin'],Accepted,Colombia,"['Cumbia', 'Pop Rock', 'Vallenato']"
Carlos Vives - Fruta Fresca + Remixes,Carlos Vives,1999,"['Rock', 'Reggae', 'Latin', 'Pop']",Accepted,Brazil,
Carlos Vives - Remixes,Carlos Vives,1998,"['Latin', 'Pop']",Accepted,Mexico,"['Cumbia', 'Vallenato']"
Carlos Vives - Como Tú (Remix by Robbie Rivera),Carlos Vives,2004,['Electronic'],Accepted,US,['House']
Carlos Vives - Qué Diera,Carlos Vives,1997,['Latin'],Accepted,Colombia,['Vallenato']
Carlos Vives & Shakira - La Bicicleta,Carlos Vives,2016,"['Latin', 'Pop']",Accepted,US,"['Vallenato', 'Reggaeton']"
Carlos Vives - Corazón Profundo,Carlos Vives,2013,"['Latin', 'Pop']",Accepted,Colombia,"['Vocal', 'Vallenato']"
Carlos Vives - Fruta Fusca,Carlos Vives,1999,['Latin'],Accepted,Unknown,
