Titulo,Artista,Year,Genero,Estado,pais,stilo
BLACKPINK - Kill This Love,BLACKPINK,2019,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Unknown,"['K-pop', 'Drum n Bass', 'Dance-pop', 'Pop Rap']"
BLACKPINK - How You Like That,BLACKPINK,2020,"['Electronic', 'Hip Hop', 'Pop']",Accepted,South Korea,"['K-pop', 'Dance-pop', 'Pop Rap', 'Hip Hop']"
BLACKPINK - The Album -JP Ver.-,BLACKPINK,2021,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Japan,"['K-pop', 'Synth-pop', 'Pop Rap', 'Dance-pop', 'J-pop']"
BLACKPINK - Kill This Love,BLACKPINK,2019,['Pop'],Accepted,Finland,['K-pop']
"Lady Gaga, BLACKPINK - Sour Candy ",Lady Gaga,2020,"['Electronic', 'Pop']",Accepted,USA & Europe,"['Dance-pop', 'K-pop', 'Deep House']"
Dua Lipa & BLACKPINK - Kiss And Make Up,Dua Lipa,2018,"['Electronic', 'Pop']",Accepted,Sweden,"['Dance-pop', 'K-pop']"
BLACKPINK - Pink Venom,BLACKPINK,2022,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Worldwide,['K-pop']
BLACKPINK - Kill This Love,BLACKPINK,2019,"['Electronic', 'Hip Hop', 'Pop']",Accepted,US,"['K-pop', 'Drum n Bass', 'Dance-pop', 'Pop Rap']"
BLACKPINK - Pink Venom,BLACKPINK,2022,"['Electronic', 'Hip Hop', 'Pop']",Accepted,France,['K-pop']
BLACKPINK - Born Pink,BLACKPINK,2022,['Pop'],Accepted,South Korea,['K-pop']
BLACKPINK - Kill This Love,BLACKPINK,2019,"['Hip Hop', 'Pop']",Accepted,Sweden,"['K-pop', 'Pop Rap']"
BLACKPINK - As If It's Your Last,BLACKPINK,2017,"['Electronic', 'Hip Hop', 'Pop']",Accepted,Unknown,"['Dance-pop', 'Pop Rap', 'K-pop']"
Lady Gaga & BLACKPINK - Sour Candy,Lady Gaga,2020,"['Electronic', 'Pop']",Accepted,Unknown,"['Electro', 'Synth-pop', 'Dance-pop']"
"Lady Gaga, BLACKPINK - Sour Candy",Lady Gaga,2020,"['Electronic', 'Pop']",Accepted,Italy,"['Electro', 'Synth-pop', 'Dance-pop']"
BLACKPINK - Born Pink,BLACKPINK,2022,"['Electronic', 'Hip Hop', 'Pop']",Accepted,US,['K-pop']
Dua Lipa x BLACKPINK - Kiss And Make Up (Remixes),Dua Lipa,2019,"['Electronic', 'Pop']",Accepted,Europe,"['Dance-pop', 'K-pop', 'House']"
"BLACKPINK, Selena Gomez - Ice Cream (Spatiatica Remix) ",BLACKPINK,2020,['Electronic'],Accepted,France,['Electro']
Dua Lipa - Dua Lipa (Complete Edition),Dua Lipa,2018,"['Electronic', 'Rock', 'Pop']",Accepted,Brazil,"['Synth-pop', 'Ballad', 'Pop Rock']"
Lady Gaga - Chromatica,Lady Gaga,2020,"['Electronic', 'Pop']",Accepted,Europe,"['Europop', 'Dance-pop']"
Lady Gaga - Chromatica,Lady Gaga,2020,"['Electronic', 'Pop']",Accepted,US,"['Europop', 'Dance-pop']"
Lady Gaga - Chromatica,Lady Gaga,2020,"['Electronic', 'Pop']",Accepted,USA & Europe,"['Dance-pop', 'Synth-pop', 'House', 'Nu-Disco', 'Electro']"
DooPiano - The Best of BLACKPINK,DooPiano,2020,['Pop'],Accepted,Unknown,['K-pop']
Dua Lipa & Blackpink - Kiss And Make Up,Dua Lipa,2019,"['Electronic', 'Pop']",Accepted,Brazil,"['Dance-pop', 'K-pop']"
BLACKPINK - 뚜두뚜두 [Ddu-Du Ddu-Du] (Luqu Chaos Remix),BLACKPINK,2018,['Electronic'],Accepted,Malaysia,['Hardstyle']
Dua Lipa - Dua Lipa,Dua Lipa,2018,"['Electronic', 'Pop']",Accepted,USA & Europe,"['Synth-pop', 'Ballad', 'Tropical House', 'Chillwave', 'Dance-pop']"
Lady Gaga - Chromatica,Lady Gaga,2020,"['Electronic', 'Pop']",Accepted,Europe,"['Europop', 'Dance-pop', 'Disco', 'Vocal']"
Lady Gaga - Chromatica,Lady Gaga,2020,"['Electronic', 'Pop']",Accepted,Brazil,['Dance-pop']
BLACKPINK - Lovesick Girls (Spatiatica Remix),BLACKPINK,2020,['Electronic'],Accepted,France,['Electro']
Lady Gaga - Chromatica,Lady Gaga,2020,"['Electronic', 'Pop']",Accepted,USA & Canada,"['Dance-pop', 'Synth-pop', 'House', 'Nu-Disco', 'Electro', 'Deep House']"
Lady Gaga - Chromatica,Lady Gaga,2020,"['Electronic', 'Pop']",Accepted,US,"['Europop', 'Dance-pop', 'Disco', 'Vocal']"
Lady Gaga - Chromatica,Lady Gaga,2020,"['Electronic', 'Pop']",Accepted,Europe,"['Dance-pop', 'House', 'Electro']"
Lady Gaga - Chromatica,Lady Gaga,2020,"['Rock', 'Pop']",Accepted,UK,
Lady Gaga - Chromatica,Lady Gaga,2020,"['Electronic', 'Pop']",Accepted,Australasia,['House']
Lady Gaga - Chromatica = クロマティカ,Lady Gaga,2020,['Pop'],Accepted,Japan,
Lady Gaga - Chromatica,Lady Gaga,2020,"['Electronic', 'Pop']",Accepted,US,"['Europop', 'Dance-pop', 'Disco', 'Vocal']"
Lady Gaga - Chromatica,Lady Gaga,2020,"['Rock', 'Pop']",Accepted,UK,
The Sequel (5) - Heaven Of Earth,The Sequel (5),2020,['Electronic'],Accepted,France,['Hardcore']
Lady Gaga - Chromatica,Lady Gaga,2020,"['Rock', 'Pop']",Accepted,UK,
Lady Gaga - Chromatica,Lady Gaga,2020,"['Electronic', 'Pop']",Accepted,Japan,"['Dance-pop', 'Synth-pop', 'House', 'Nu-Disco']"
